#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-229332.14598337933,65483.02125305263,-163849.1247303267,297.6716751612943,313.4611303366879,0
10000,-230078.69199319463,65780.11028149305,-164298.58171170158,299.02217773548296,307.7158118505237,213
15000,-232520.49193300982,65684.15655844135,-166836.33537456847,298.585992829347,303.000283844147,215
20000,-232291.1253704005,65634.01318478014,-166657.11218562035,298.35805187991696,303.5254377268175,214
25000,-232027.50362900738,65207.72619592992,-166819.77743307746,296.4202432748414,303.7322550295128,215
30000,-232534.55018773326,65307.40671932488,-167227.14346840838,296.87336941062654,303.46144517023254,214
35000,-231672.48916779528,66339.19392759213,-165333.29524020315,301.56365127022525,304.92724181439985,215
40000,-230864.81932832836,65480.59336737747,-165384.2259609509,297.6606385172575,303.7789272054817,215
45000,-231964.32437963528,66651.62731688528,-165312.69706275,302.98390599561145,303.4766280030527,215
50000,-232267.8954949507,65762.05242531002,-166505.8430696407,298.9400906204268,302.65855200681557,215
55000,-232705.8995286557,65687.74650949286,-167018.15301916283,298.60231197166513,301.46421676999057,215
60000,-232290.56223728275,66266.05151117663,-166024.51072610612,301.23116163851427,302.09158340342447,215
65000,-232128.0525905455,65555.02827088232,-166573.02431966318,297.9990035161956,302.09302315775926,214
70000,-233021.76534751826,66475.43308038334,-166546.33226713492,302.1829650413049,301.16861580551904,214
75000,-232338.29093322484,65326.506180656084,-167011.78475256875,296.9601914377772,300.88695323031413,214
80000,-233056.00392142846,65485.685188683536,-167570.31873274493,297.68378483746073,301.35584767018713,214
85000,-233144.07463486027,65346.74858291028,-167797.32605195,297.0522090275736,300.3831087901042,214
90000,-233143.2230574931,65575.33592633391,-167567.8871311592,298.0913177329376,301.6205757100622,214
95000,-231950.80693088425,66363.73422006646,-165587.0727108178,301.67520614093826,303.1407360458428,214
100000,-233234.49705460388,65911.45332455111,-167323.04373005277,299.61923484891076,301.41257358852806,214
105000,-233634.5995083952,65520.642104881175,-168113.957403514,297.84269143040507,300.4532365931556,214
110000,-232746.12165414193,65852.30984558666,-166893.81180855527,299.3503813641245,300.89350929775844,214
115000,-232373.3527142047,66205.93267427347,-166167.42003993122,300.95787438714336,301.3040535218174,214
120000,-231481.0140399076,65292.07113632129,-166188.9429035863,296.8036571616359,303.52337819400884,214
125000,-232841.4351407718,65914.58603430336,-166926.84910646843,299.6334754710125,301.6448167423429,214
130000,-232157.15695953113,66189.72172569277,-165967.43523383836,300.8841829152529,302.09610233731024,214
135000,-232335.10293467203,65583.34340214892,-166751.7595325231,298.1277179889743,303.22777579305955,214
140000,-232589.84016068862,65391.30497190215,-167198.53518878645,297.2547527510695,302.7979875738054,214
145000,-231663.64649565704,66324.01022793469,-165339.63626772235,301.4946294501307,302.6958586489825,214
150000,-231769.36856267578,64651.51899981039,-167117.8495628654,293.89184546060727,303.50763106870926,214
155000,-232522.25504781888,66581.22586106381,-165941.02918675507,302.66387617891763,302.8107504373022,214
160000,-232124.33810350136,65847.33119860478,-166277.00690489658,299.3277495099618,302.72334149850366,214
165000,-233506.95020191185,65273.64476963866,-168233.3054322732,296.71989487741934,301.34526139342563,214
170000,-233680.5732713102,65495.47482796793,-168185.09844334226,297.72828642381467,301.4941321821716,214
175000,-232887.14015234192,65214.75254035788,-167672.38761198404,296.45218351944385,303.1282295794743,214
180000,-231820.5946530688,65469.52438148437,-166351.07027158444,297.6103212974639,303.2478189206591,214
185000,-231706.25085589103,65541.83857719685,-166164.4122786942,297.9390460166929,304.58371216177744,214
190000,-232778.3116987627,66040.56265092856,-166737.74904783414,300.20613796862483,300.64347971437803,214
195000,-233025.99192572501,65886.61074220494,-167139.38118352008,299.5063058337124,300.85719738916185,214
200000,-233197.77057852875,66253.44370554155,-166944.3268729872,301.1738492764442,301.50196555422235,214
205000,-232397.3884569835,65257.475306440145,-167139.91315054335,296.64639198911857,300.4105844054946,214
210000,-232283.47749859188,65148.28003138851,-167135.19746720337,296.15001384677987,300.877838188887,214
215000,-232693.1649090799,65673.7136493118,-167019.4512597681,298.53852161933463,301.77809141977787,214
220000,-231939.14917193772,65090.08102147153,-166849.0681504662,295.88545371434844,303.6914429920379,214
225000,-232419.48354667425,65530.699993757415,-166888.78355291684,297.8884124214816,301.9168699900155,214
230000,-232230.34685540758,65580.62402618391,-166649.72282922367,298.11535629302006,301.7509952234482,214
