#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
490005000,-233701.48145529674,65471.70080743299,-168229.78064786375,297.62021485988043,301.5821356540157,0
490010000,-234787.87718382897,65107.89203976565,-169679.9851440633,295.9664187576602,300.7446985447441,231
490015000,-233891.59966982948,65255.26056713227,-168636.3391026972,296.6363242624437,301.2302886078725,231
490020000,-233152.8896176354,65062.008917318075,-168090.88070031733,295.7578439903504,304.1082435673793,231
490025000,-233174.36163055408,65214.048932618985,-167960.3126979351,296.4489850705897,302.4577726730257,231
490030000,-233384.66871923488,65290.55025477015,-168094.11846446473,296.79674356250155,301.33137372298484,231
490035000,-234126.87059907336,66043.41416975012,-168083.45642932324,300.219100357472,302.28821572839206,231
490040000,-234149.718551856,65693.22800795152,-168456.49054390448,298.62722968006284,302.7412600004299,231
490045000,-234688.91707848967,64605.188562311814,-170083.72851617786,293.6812372956623,301.14611024539204,231
490050000,-233863.39705071785,65880.83941538609,-167982.55763533176,299.4800706281706,303.71061816102065,230
490055000,-233393.27612308087,65769.70641459624,-167623.56970848463,298.9748840030304,302.3583911853167,230
490060000,-234708.9284857423,65885.63449260971,-168823.2939931326,299.50186801384973,300.95914161854154,230
490065000,-233362.00964425714,65662.04939859989,-167699.96024565725,298.48549845420763,301.5035911071367,230
490070000,-233770.56116318493,65857.52458934416,-167913.03657384077,299.37408646324985,302.4840264732917,230
490075000,-233006.91019196343,65340.48556088633,-167666.4246310771,297.023738681799,304.2375272997241,230
490080000,-233953.47434935393,65804.84362545202,-168148.6307239019,299.13461017656044,302.9653914042574,230
490085000,-234105.81618591934,66161.90207174933,-167943.91411417,300.7577207753991,301.3094769721681,230
490090000,-232951.66820936906,65965.35407054622,-166986.31413882284,299.8642560016582,304.19847492601076,230
490095000,-233823.4106358597,65229.10719659936,-168594.30343926034,296.51743668718115,303.6143174153304,230
490100000,-233679.86359486077,65447.85126666189,-168232.01232819888,297.5117999972594,301.8788535951803,230
490105000,-233442.98680666322,65368.97109923395,-168074.01570742927,297.15322778837276,302.1028416233512,230
490110000,-234700.51692084502,65535.56395297221,-169164.9529678728,297.9105229298192,301.6140497716993,230
490115000,-234031.632958211,65356.88440034399,-168674.74855786702,297.09828426504566,302.71661918381017,230
490120000,-234372.61165887467,65587.79344795202,-168784.81821092265,298.14794693631677,301.5627698794444,230
490125000,-233776.4834311963,65372.88483646291,-168403.5985947334,297.1710187927399,301.4703251202318,230
490130000,-233318.11891653226,65938.92151716119,-167379.19739937107,299.7440993214325,303.1314207850459,230
490135000,-233865.07099000877,65828.09670787072,-168036.97428213805,299.24031366830206,303.02595248074977,230
490140000,-234044.88223381946,65577.14726027404,-168467.73497354542,298.09955166591624,303.2045753181762,230
490145000,-233410.97604795196,66080.56302260642,-167330.41302534554,300.38797102117155,304.11407720447124,230
490150000,-233701.79713494703,64790.7114435446,-168911.08569140243,294.5245842546229,302.76695581355466,229
490155000,-233202.19655585778,65457.498037210375,-167744.6985186474,297.5556521331889,302.85701850911585,229
490160000,-233845.79424355552,65517.64264187601,-168328.1516016795,297.82905651924415,302.18757884000047,229
490165000,-234369.07457300182,65245.31058049819,-169123.76399250363,296.5910937716612,300.7155037286083,229
490170000,-233657.601651771,65568.30566368435,-168089.29598808664,298.0593596769458,302.0297459081284,229
490175000,-233817.38355596364,65488.31982874661,-168329.06372721703,297.6957613423014,301.7083084692059,229
490180000,-233047.58847572212,65298.316246361705,-167749.27222936042,296.83204608340105,303.2487479454368,229
490185000,-233617.3238746582,66160.95364134933,-167456.37023330887,300.7534094155911,301.88477348975744,229
490190000,-232899.83555587707,65754.78591677523,-167145.04963910184,298.9070586416523,301.7154543450077,229
490195000,-233410.13794248574,64582.99380319519,-168827.14413929055,293.58034471313294,302.4725380305109,229
490200000,-232987.76624745666,65942.67276036361,-167045.09348709305,299.7611516630416,303.6360863192785,229
490205000,-232472.952359973,65564.00204177099,-166908.950318202,298.0397963409894,303.98536889439754,229
490210000,-233696.7809874157,65339.52716107556,-168357.25382634014,297.0193820032022,300.3157827970001,229
490215000,-233654.42589123384,65920.48223854281,-167733.94365269103,299.6602783423441,301.81369433780617,229
490220000,-233387.03843771387,65884.15074016992,-167502.88769754395,299.4951231956384,304.1613675394459,229
490225000,-232426.7846877626,65312.463736670965,-167114.32095109165,296.8963575195428,302.7500833800068,229
490230000,-233875.30767526245,66189.43588936643,-167685.87178589602,300.8828835650327,302.12958082263367,229
490235000,-233571.35383965867,65617.30866622261,-167954.04517343605,298.2821167454862,302.5337619171192,229
490240000,-231988.5743706175,65054.10382107762,-166934.4705495399,295.7219091297532,304.345165956401,229
490245000,-233602.18643352063,65409.53504164424,-168192.6513918764,297.3376227117798,302.4091869875021,229
490250000,-233973.77319150837,65394.92180636851,-168578.85138513986,297.2711940995867,300.2063493719182,229
490255000,-233956.71034599748,65564.51285123324,-168392.19749476423,298.04211837050804,301.45517789106697,229
490260000,-233914.36065226258,65841.79925772129,-168072.5613945413,299.30260250119255,302.2523460902767,229
490265000,-233817.65850606537,66065.51928991417,-167752.1392161512,300.3195854606783,301.165922254202,229
490270000,-232708.54159385152,65850.528457752,-166858.0131360995,299.34228355967525,303.91522811443815,229
490275000,-234202.5937644532,65109.71240020031,-169092.88136425288,295.9746937231339,301.49108575690525,229
490280000,-233247.4954551654,65980.6310366221,-167266.8644185433,299.93370179075237,303.09362520010586,229
490285000,-234189.68192466954,65453.1802186484,-168736.50170602114,297.5360242623334,302.4659573946444,229
490290000,-233739.42273006123,65301.13826533512,-168438.2844647261,296.84487437230825,302.4486319047846,229
490295000,-234147.92283711024,65156.22373216774,-168991.6991049425,296.18612419527454,300.66400759804617,230
