,0
0,-12.900064
1,-16.09731
2,-14.735959
3,-7.4579587
4,-13.695509
5,-12.518134
6,-17.726042
7,-14.163905
8,-13.924408
9,-11.907978
10,-14.408132
11,-15.539902
12,-12.256502
13,-12.111875
14,-4.9742093
15,-10.85989
16,-8.529091
17,-0.885584
18,0.88210976
19,-13.193847
20,-13.262362
21,-13.9080715
22,-6.4572086
23,-3.4109068
24,-11.484822
25,10.552155
26,11.671804
27,17.4574
28,12.871388
29,9.320359
30,21.585524
31,22.616695
32,22.625805
33,13.823498
34,13.913712
35,11.605775
36,13.305642
37,10.914104
38,13.929894
39,11.93331
40,11.593887
41,8.759287
42,13.405718
43,12.394733
44,12.255879
45,11.775006
46,11.793292
47,13.099294
48,11.270381
49,13.076099
50,7.170248
51,4.9859414
52,6.977193
53,5.3147697
54,8.147348
55,8.685231
56,7.2344065
57,6.5350423
58,4.9280562
59,8.965282
60,4.1979547
61,5.7261543
62,8.513991
63,8.566224
64,8.410554
65,7.2812696
66,9.128006
67,8.017662
68,6.592093
69,10.683594
70,8.049894
71,7.7493014
72,9.15781
73,9.465327
74,6.335738
75,6.868703
76,6.8236723
77,9.916798
78,11.807486
79,9.056684
80,8.844311
81,7.74428
82,10.262592
83,11.25012
84,8.547866
85,11.453934
86,11.851288
87,10.396511
88,10.2769375
89,9.1587105
90,8.442952
91,6.933282
92,8.67752
93,9.553877
94,11.127138
95,7.4060373
96,8.37863
97,8.778994
98,7.8978176
99,7.9299407
100,7.9791574
101,5.4038815
102,4.866051
103,7.3451586
104,7.623908
105,10.201456
106,6.143692
107,5.786624
108,9.866494
109,7.910339
110,6.6092916
111,4.212209
112,8.954134
113,8.020215
114,14.087935
115,14.843311
116,10.559861
117,10.791909
118,5.7943463
119,10.152353
120,11.206287
121,11.666356
122,11.133766
123,13.983894
124,12.246651
125,12.151176
126,14.031034
127,9.337091
128,13.663784
129,11.16446
130,9.328324
131,12.450885
132,9.1199665
133,13.031867
134,11.702192
135,11.542842
136,11.541567
137,12.38066
138,12.017345
139,10.804603
140,12.855256
141,13.363835
142,10.419888
143,9.533999
144,7.5969043
145,9.082252
146,12.385946
